Latitude,Longitude,WnvPresent,species_culex_erraticus,species_culex_pipiens,species_culex_pipiens_restuans,species_culex_restuans,species_culex_salinarius,species_culex_tarsalis,species_culex_territans,species_unspecified_culex,month_of_year,week_of_year,year,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Tavg_mean_past7day,WetBulb_mean_past7day,Heat_mean_past7day,Cool_mean_past7day,AvgSpeed_mean_past7day,PrecipTotal_mean_past7day,Tavg_mean_past14day,WetBulb_mean_past14day,Heat_mean_past14day,Cool_mean_past14day,AvgSpeed_mean_past14day,PrecipTotal_mean_past14day
41.95469,-87.800991,0,0,0,1,0,0,0,0,0,5,22,2007,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,68.0,58.57142857142857,1.4285714285714286,4.428571428571429,9.485714285714286,0.1531428571428571,64.14285714285714,54.14285714285714,3.7142857142857135,2.8571428571428568,9.85,0.09157142857142857
41.95469,-87.800991,0,0,0,0,1,0,0,0,0,5,22,2007,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,68.0,58.57142857142857,1.4285714285714286,4.428571428571429,9.485714285714286,0.1531428571428571,64.14285714285714,54.14285714285714,3.7142857142857135,2.8571428571428568,9.85,0.09157142857142857
41.994991,-87.769279,0,0,0,0,1,0,0,0,0,5,22,2007,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,68.0,58.57142857142857,1.4285714285714286,4.428571428571429,9.485714285714286,0.1531428571428571,64.14285714285714,54.14285714285714,3.7142857142857135,2.8571428571428568,9.85,0.09157142857142857
41.974089,-87.824812,0,0,0,1,0,0,0,0,0,5,22,2007,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,68.0,58.57142857142857,1.4285714285714286,4.428571428571429,9.485714285714286,0.1531428571428571,64.14285714285714,54.14285714285714,3.7142857142857135,2.8571428571428568,9.85,0.09157142857142857
41.974089,-87.824812,0,0,0,0,1,0,0,0,0,5,22,2007,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,68.0,58.57142857142857,1.4285714285714286,4.428571428571429,9.485714285714286,0.1531428571428571,64.14285714285714,54.14285714285714,3.7142857142857135,2.8571428571428568,9.85,0.09157142857142857
41.9216,-87.666455,0,0,0,0,1,0,0,0,0,5,22,2007,77,10,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,69.42857142857143,59.14285714285714,1.1428571428571428,5.571428571428571,9.171428571428573,0.06442857142857142,65.21428571428571,54.57142857142857,3.4285714285714284,3.6428571428571432,9.514285714285714,0.045071428571428575
41.891118,-87.65449100000002,0,0,0,0,1,0,0,0,0,5,22,2007,77,10,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,69.42857142857143,59.14285714285714,1.1428571428571428,5.571428571428571,9.171428571428573,0.06442857142857142,65.21428571428571,54.57142857142857,3.4285714285714284,3.6428571428571432,9.514285714285714,0.045071428571428575
41.867108,-87.654224,0,0,0,1,0,0,0,0,0,5,22,2007,77,10,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,69.42857142857143,59.14285714285714,1.1428571428571428,5.571428571428571,9.171428571428573,0.06442857142857142,65.21428571428571,54.57142857142857,3.4285714285714284,3.6428571428571432,9.514285714285714,0.045071428571428575
41.867108,-87.654224,0,0,0,0,1,0,0,0,0,5,22,2007,77,10,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,69.42857142857143,59.14285714285714,1.1428571428571428,5.571428571428571,9.171428571428573,0.06442857142857142,65.21428571428571,54.57142857142857,3.4285714285714284,3.6428571428571432,9.514285714285714,0.045071428571428575
41.896282,-87.655232,0,0,0,0,1,0,0,0,0,5,22,2007,77,10,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,69.42857142857143,59.14285714285714,1.1428571428571428,5.571428571428571,9.171428571428573,0.06442857142857142,65.21428571428571,54.57142857142857,3.4285714285714284,3.6428571428571432,9.514285714285714,0.045071428571428575
